name,role,skin_type,power_level,weight,height,age,eye_color,gender,hair_color,speed,universe,body_type,job,battle_iq,species,ranking,intelligence,abilities,training_time,special_attack,secret_code,win_prob
Manhunter,H3ro,Transparent,2140.0,99,177.0,121.0,Yellow,,Bald,827.0,Marvel Comics,Giant,Brewer,582.0,Saiyan,3889.0,582.0,Mind Reading,1353.0,Electric Nova,10111.0,0.43
Neon Netrunner,Hero,Transparent,1437.0,119,260.0,94.0,Yellow,1.0,Brown,1151.0,Marvel,Athletic,Hero,927.0,Alien,3003.0,875.0,Time Manipulation,767.0,Fireburst Cannon,10111.0,0.32
Kakashi,H3ro,Transparent,8843.0,581,788.0,118.0,Yellow,2.0,Brown,870.0,Marvel,Regular,Scientist,909.0,Giant,4829.0,858.0,Super Strength,3895.0,Water Vortex,10111.0,0.63
Valiant Templar,Hero,Metallic,15966.0,83,175.0,91.0,,1.0,None,,Marvel,Fat,Demon Lord,1136.0,Undead,1517.0,1033.0,Flying,8874.0,Grass Tempest,10011.0,0.52
Mon-El,H3ro,Luminescent,6039.0,90,195.0,22.0,,2.0,Purple,,Marvel Comics,Muscular,Warrior,1222.0,Kryptonian,3602.0,1111.0,Super Speed,3454.0,Water Fury,11111.0,0.8
Hawkeye,HerO,Hairy,17283.0,90,175.0,53.0,Blood,0.0,Green,,Marvel Comics,Athletic,Demon Lord,621.0,Kryptonian,880.0,609.0,Super Strength,7329.0,Grass Surge,10010.0,0.75
Ragman,Hero,Draconish,3098.0,104,146.0,64.0,White,0.0,Black,1571.0,Marvel,Giant,God,950.0,Kryptonian,1482.0,897.0,Time Manipulation,1790.0,Water Fury,10101.0,0.7
Chivalrous Paladin,HerO,Steel,18442.0,65,173.0,80.0,Black,0.0,White,1364.0,Marvel,Muscular,Leader,714.0,Kryptonian,2907.0,700.0,Super Strength,9669.0,Electric Nova,,0.64
Wonder Man,Hero,Stone,1710.0,79,191.0,102.0,Red,2.0,Blonde,,Marvel,Athletic,Hero,108.0,Kryptonian,3110.0,118.0,Super Strength,885.0,Grass Surge,10010.0,0.42
Radiant Sentinel,Hero,Luminescent,14296.0,,156.0,142.0,Glowing,1.0,Bald,708.0,Marvel,Muscular,Leader,517.0,Kryptonian,3475.0,517.0,Super Speed,7734.0,Grass blade,11111.0,0.51
Human Torch,H3ro,Luminescent,5840.0,119,175.0,121.0,Glowing,,Silver,1042.0,Marvel Comics,Giant,Thief,992.0,Saiyan,1756.0,,Super Speed,3906.0,Water Gun,,0.55
Son Gohan,Hero,Scaly,5662.0,91,151.0,35.0,Blue,0.0,Brown,2872.0,Marvel,Muscular,Leader,895.0,Saiyan,4213.0,845.0,Mind Reading,4492.0,Water Fury,10001.0,0.6
Encrypted Overclock,HerO,Stone,18469.0,51,162.0,85.0,Red,2.0,Gold,,Marvel,Fat,Mage,1239.0,Undead,1865.0,1127.0,Super Strength,9730.0,Grass Surge,,0.71
Trunks,Hero,Draconish,3730.0,50,167.0,138.0,White,,Blonde,,Marvel Comics,Regular,Leader,75.0,Undead,3339.0,84.0,Mind Reading,2073.0,Grass Surge,10101.0,0.49
Hyperion,HerO,Wooden,,,154.0,143.0,Pink,1.0,None,760.0,Marvel Comics,Regular,Leader,1135.0,Undead,925.0,1032.0,Time Manipulation,312.0,Grass Surge,11010.0,0.58
Kurama,H3ro,Wooden,9376.0,551,892.0,121.0,,,Fire-like,,Marvel,Giant,Saviors,1305.0,Giant,2575.0,1187.0,Flying,6269.0,Water Vortex,,0.85
Cloak,Hero,Stone,7601.0,598,747.0,85.0,Red,1.0,Gold,1184.0,Marvel Comics,Regular,Scientist,1303.0,Giant,1013.0,1185.0,Super Strength,5317.0,Fireburst Cannon,10010.0,0.5
Steel,Hero,Scaly,1153.0,124,151.0,32.0,Blue,1.0,Purple,3157.0,Marvel,Giant,Mage,1217.0,Alien,3817.0,1107.0,Super Speed,810.0,Water Vortex,10001.0,0.62
Brave Paladin,Hero,Metallic,8559.0,63,120.0,130.0,,2.0,Blonde,845.0,Marvel Comics,Fat,Leader,105.0,Undead,904.0,115.0,Mind Reading,6841.0,Electric Nova,10011.0,0.42
Noble Crusader,Hero,Stone,4800.0,493,809.0,53.0,,,Brown,1904.0,Marvel,Regular,Warrior,909.0,Giant,4258.0,858.0,Time Manipulation,2032.0,Grass Tempest,10010.0,0.56
Ethereal Crusader,H3ro,Transparent,16746.0,77,172.0,58.0,Yellow,1.0,White,,Marvel,Fat,God,714.0,Human,1114.0,700.0,Super Strength,9699.0,Electric Storm,,0.67
