feature,importance
skin_type_encoded,0.3503395942850055
special_attack_encoded,0.190857258566188
training_efficiency,0.07269982285518098
power_level,0.0602821626023375
gender,0.059854570627536616
secret_code,0.03984340190708101
age,0.03593573954349313
speed_age_ratio,0.02769712349774284
intelligence,0.019771911748627708
tactical_intelligence,0.019367804051502242
weight,0.019338623010501054
power_weight_ratio,0.019046218187672298
role_encoded,0.016522935844671238
training_time,0.016406730971898414
speed,0.01207277254515001
ranking,0.011119482655324248
battle_iq,0.010733819121725725
eye_color_encoded,0.009304137073892636
hero_bmi,0.008805890904468755
height,0.0
ranking_category_num,0.0
name_encoded,0.0
universe_encoded,0.0
hair_color_encoded,0.0
body_type_encoded,0.0
job_encoded,0.0
species_encoded,0.0
abilities_encoded,0.0
